NAME                         SYNC STATUS   HEALTH STATUS
alloy                        Unknown       Healthy
argocd                       Unknown       Healthy
blackbox-exporter            Unknown       Healthy
cert-manager                 Unknown       Healthy
cert-manager-config          Unknown       Healthy
cert-manager-secrets         Unknown       Healthy
cnpg-cluster                 Unknown       Progressing
cnpg-databases               Unknown       Healthy
cnpg-logical-backup          Unknown       Degraded
cnpg-operator                Unknown       Healthy
cnpg-secrets                 Unknown       Healthy
coredns                      Unknown       Healthy
dev-infrastructure           Unknown       Healthy
garage                       Unknown       Healthy
garage-backup                Unknown       Healthy
garage-backup-secrets        Unknown       Healthy
garage-secrets               Unknown       Healthy
headlamp                     Unknown       Healthy
headlamp-ingress             Unknown       Healthy
idoit                        Unknown       Healthy
idoit-backup                 Unknown       Healthy
idoit-backup-secrets         Unknown       Healthy
idoit-secrets                Unknown       Healthy
it-info-versand              Unknown       Progressing
it-info-versand-secrets      Unknown       Healthy
keycloak                     Unknown       Progressing
keycloak-secrets             Unknown       Healthy
kyverno                      Unknown       Healthy
kyverno-policies             Unknown       Healthy
loki                         Unknown       Healthy
loki-secrets                 Unknown       Healthy
longhorn                     Unknown       Healthy
longhorn-ingress             Unknown       Healthy
longhorn-storageclass        Unknown       Healthy
mariadb-cluster              Unknown       Degraded
mariadb-idoit-databases      Unknown       Healthy
mariadb-operator             Unknown       Healthy
mariadb-secrets              Unknown       Healthy
metallb                      Unknown       Healthy
monitoring                   Unknown       Healthy
monitoring-alerts            Unknown       Healthy
monitoring-ingress           Unknown       Healthy
monitoring-secrets           Unknown       Healthy
n8n                          Unknown       Progressing
n8n-secrets                  Unknown       Healthy
odoo                         Unknown       Progressing
odoo-backup                  Unknown       Degraded
odoo-backup-secrets          Unknown       Healthy
odoo-secrets                 Unknown       Healthy
openproject                  Unknown       Progressing
openproject-secrets          Unknown       Healthy
registry                     Unknown       Healthy
registry-secrets             Unknown       Healthy
thanos                       Unknown       Healthy
traefik                      Unknown       Healthy
trivy-operator               Unknown       Healthy
velero                       Unknown       Healthy
velero-secrets               Unknown       Healthy
